CERCID	Order	BGD	LGD	POD
BGP018	1	Virtue	Ecology	Morality
BGP018	2	Morality	Ecology	Substance Use/Abuse
BGP018	3	NA	Ecology	Morality
CERC436	1	Miscellaneous	Ecology	Miscellaneous
CERC436	2	NA	NA	Virtue
CERC436	3	NA	NA	Ritual
CERC436	4	NA	NA	Morality
CERC436	5	NA	NA	Morality
CERC437	1	Ecology	Religion	People
CERC437	2	Religion	Ritual	Substance Use/Abuse
CERC437	3	Virtue	Ecology	Morality
CERC437	4	Virtue	NA	Miscellaneous
CERC437	5	Ecology	NA	Morality
CERC438	1	Morality	Ecology	Morality
CERC438	2	Substance Use/Abuse	Ecology	Morality
CERC438	3	Morality	Etiquette	Morality
CERC438	4	NA	NA	Miscellaneous
CERC438	5	NA	NA	Morality
CERC439	1	Religion	Ecology	Miscellaneous
CERC439	2	Ritual	NA	NA
CERC439	3	Virtue	NA	NA
CERC439	4	NA	NA	NA
CERC439	5	NA	NA	NA
CERC440	1	Miscellaneous	Religion	Miscellaneous
CERC440	2	Morality	NA	Virtue
CERC440	3	Virtue	NA	Morality
CERC440	4	NA	NA	Miscellaneous
CERC440	5	NA	NA	Miscellaneous
CERC441	1	Morality	Ecology	Morality
CERC441	2	Morality	NA	Morality
CERC441	3	Morality	NA	Morality
CERC441	4	NA	NA	Morality
CERC441	5	NA	NA	Morality
CERC442	1	Substance Use/Abuse	Ecology	Morality
CERC442	2	Substance Use/Abuse	Ecology	Substance Use/Abuse
CERC442	3	Substance Use/Abuse	Virtue	Substance Use/Abuse
CERC442	4	Morality	Ecology	Etiquette
CERC442	5	NA	NA	Substance Use/Abuse
CERC443	1	Virtue	Ecology	Morality
CERC443	2	Morality	Ecology	Virtue
CERC443	3	Etiquette	NA	Morality
CERC443	4	NA	NA	Virtue
CERC443	5	NA	NA	Virtue
CERC444	1	Religion	Ecology	Morality
CERC444	2	Morality	Religion	NA
CERC444	3	Morality	NA	NA
CERC444	4	Miscellaneous	NA	NA
CERC444	5	NA	NA	NA
CERC445	1	Ecology	Ritual	Morality
CERC445	2	Substance Use/Abuse	Ritual	Miscellaneous
CERC445	3	NA	Ecology	Morality
CERC445	4	NA	NA	NA
CERC445	5	NA	NA	NA
CERC446	1	Morality	Ritual	Morality
CERC446	2	Ecology	Ritual	People
CERC446	3	Morality	NA	Morality
CERC446	4	NA	NA	Substance Use/Abuse
CERC446	5	NA	NA	NA
CERC447	1	Substance Use/Abuse	Substance Use/Abuse	Virtue
CERC447	2	Substance Use/Abuse	Morality	Substance Use/Abuse
CERC447	3	Ecology	Etiquette	Morality
CERC447	4	Morality	NA	Miscellaneous
CERC447	5	NA	NA	Morality
CERC448	1	Miscellaneous	Ecology	Substance Use/Abuse
CERC448	2	NA	NA	Substance Use/Abuse
CERC448	3	NA	NA	People
CERC448	4	NA	NA	Morality
CERC448	5	NA	NA	Etiquette
CERC449	1	Morality	Ecology	Virtue
CERC449	2	Morality	NA	Virtue
CERC449	3	Virtue	NA	Morality
CERC449	4	NA	NA	NA
CERC449	5	NA	NA	NA
CERC450	1	Substance Use/Abuse	Morality	Virtue
CERC450	2	Substance Use/Abuse	NA	NA
CERC450	3	Substance Use/Abuse	NA	NA
CERC450	4	NA	NA	NA
CERC450	5	NA	NA	NA
CERC452	1	Virtue	Ecology	Morality
CERC452	2	Morality	Ecology	Substance Use/Abuse
CERC452	3	Morality	NA	Morality
CERC452	4	Ritual	NA	Morality
CERC452	5	Ritual	NA	Miscellaneous
CERC452	6	NA	NA	NA
CERC453	1	Virtue	Ecology	Morality
CERC453	2	Ecology	NA	NA
CERC453	3	NA	NA	NA
CERC453	4	NA	NA	NA
CERC453	5	NA	NA	NA
CERC454	1	Virtue	Ecology	Miscellaneous
CERC454	2	Substance Use/Abuse	NA	Morality
