Subj	Order	Code	Age	Gender	SES	Believe_God	Rej_Church
1	1	Churches/Buildings	1	2	3	1	1
1	2	Sacraments/Rites of Passage	1	2	3	1	1
1	3	God	1	2	3	1	1
1	4	Clergy	1	2	3	1	1
1	5	Mass	1	2	3	1	1
1	6	Comforting/Caring	1	2	3	1	1
1	7	Prayer	1	2	3	1	1
1	8	Comforting/Caring	1	2	3	1	1
1	9	Comforting/Caring	1	2	3	1	1
2	1	Outdated/Conservative	5	1	3	0	0
4	1	Clergy	4	1	3	1	1
4	2	Religion	4	1	3	1	1
4	3	Vatican/Overall Structure	4	1	3	1	1
4	4	Pope	4	1	3	1	1
4	5	Sacraments/Rites of Passage	4	1	3	1	1
4	6	Other rituals	4	1	3	1	1
4	7	Mass	4	1	3	1	1
4	8	Preaching/Sermons	4	1	3	1	1
4	9	Vatican/Overall Structure	4	1	3	1	1
4	10	Abuse/Paedophilia	4	1	3	1	1
4	11	Abuse/Paedophilia	4	1	3	1	1
4	12	Cover-up/Secrecy	4	1	3	1	1
4	13	Let down/Betrayed	4	1	3	1	1
4	14	Outdated/Conservative	4	1	3	1	1
4	15	Outdated/Conservative	4	1	3	1	1
4	16	Authoritarian/Dominant	4	1	3	1	1
4	17	Declining	4	1	3	1	1
4	18	Nuns	4	1	3	1	1
4	19	Sacraments/Rites of Passage	4	1	3	1	1
4	20	Spiritual	4	1	3	1	1
4	21	The Cross	4	1	3	1	1
4	22	Corrupt/Materialistic	4	1	3	1	1
5	1	Mass	6	1	4	1	1
5	2	Sacraments/Rites of Passage	6	1	4	1	1
5	3	Sacraments/Rites of Passage	6	1	4	1	1
5	4	Sacraments/Rites of Passage	6	1	4	1	1
5	5	Clergy	6	1	4	1	1
6	1	Fast	2	1	4	1	0
6	2	Churches/Buildings	2	1	4	1	0
6	3	Clergy	2	1	4	1	0
7	1	Dishonest/Untrustworthy	1	1	3	0	1
7	2	Dishonest/Untrustworthy	1	1	3	0	1
7	3	Corrupt/Materialistic	1	1	3	0	1
7	4	Nonsense/Fiction	1	1	3	0	1
7	5	Bad/Immoral	1	1	3	0	1
8	1	Let down/Betrayed	2	2	4	1	1
8	2	Hypocrisy	2	2	4	1	1
8	3	Uncaring	2	2	4	1	1
8	4	Dishonest/Untrustworthy	2	2	4	1	1
8	5	Shame/Disgust	2	2	4	1	1
8	6	Insular/Detached	2	2	4	1	1
8	7	Let down/Betrayed	2	2	4	1	1
8	8	Bad/Immoral	2	2	4	1	1
9	1	Mass	2	2	11	1	0
9	2	Pope	2	2	11	1	0
9	3	Vatican/Overall Structure	2	2	11	1	0
9	4	Churches/Buildings	2	2	11	1	0
9	5	Clergy	2	2	11	1	0
9	6	Jesus	2	2	11	1	0
9	7	Mary	2	2	11	1	0
10	1	God	3	1	3	1	0
10	2	Authoritarian/Dominant	3	1	3	1	0
10	3	Tradition	3	1	3	1	0
10	4	Reforming/Changing	3	1	3	1	0
10	5	Clergy	3	1	3	1	0
10	6	Vatican/Overall Structure	3	1	3	1	0
