Subj	Age	Gender	SES	SISI_SCORE	Fusion_SCORE	MassAttendance	RelIDBASIC	Believe_God	God_Always_Never	GodCertainty_1	CatholicBelief_SCORE	CathMoral_SCORE	Rej_Church	Rej_The_Ath	CN_CR_TR_AR	CN_CR_NC	IntMorRej	RejFact_1_Catholicreligiousbeliefsdidntmakesenseorwereu	RejFact_2_TheCatholicChurchsmoralvaluesareoutofdateor	RejFact_3_Thebehaviourofpeoplearoundmewhocalledthemselve	RejFact_4_ThesexualabusescandalsintheCatholicChurch	RejFact_5_ThefeelingthattheCatholicChurchwantstocontrol	RejFact_6_Catholicismwasirrelevanttomylife	RejFact_7_Ilearnedmoreaboutatheisthumanistsecularideas	RejFact_8_BoredomwithCatholicreligiousservices	RejFact_9_Ilearnedmoreaboutotherreligiousorspiritualbeli	RejFact_10_PeoplearoundmemostlypractisedCatholicismoutof	RejFact_12_Ilearnedmoreaboutscience	ParentsCatholic	CRED_SCORE	CathInfGood_Bad	ChurchInfToday	Trust_1_Atheists	Trust_2_Priests	Trust_5_Bishops	ScEmo_1_Anger	ScEmo_2_Disgust	ScEmo_3_Contempt	ScEmo_4_Shame	ScEmo_Amusement	ScEmo_Sadness	ScEmo_Disbelief	ScEmo_Shock	ScEmo_Norealfeelingsaboutit	ScEmo_Vindication_Ialreadyknewthechurchwasbad	Paedo_%	CredDepl_1_GotoMass	CredDepl_2_GotoConfession	CredDepl_3_DonatemoneytotheChurchortoCatholiccharities	CredDepl_4_Gotothechurchtolightcandles	CredDepl_5_ReceiveashesonAshWednesday	CredDepl_6_Prayinfrontofotherpeople	CredDepl_7_Celebrateimportanteventsinmylifeormychildren	CredDepl_8_Blessmyselfwhilepassingachurch	CredDepl_9_GivesomethingupforLent	CredDepl_10_Confrontfamilymembersorpeopleinmycommunitywh	CredDepl_11_HidethefactthatIdidntreallybelieveinCathol	CredDepl_12_Noneoftheabove	Causes_1_Homosexualsjoiningthepriesthood	Causes_2_Paedophilesjoiningthepriesthood	Causes_3_Priestswerenottrainedaswellastheyusedtobe	Causes_4_IrishpeopleweretooobedienttoquestiontheChurchc	Causes_5_TheChurchcaredmoreaboutitsreputationthanaboutp	Causes_6_Priestlycelibacypriestsarenotallowedtomarry	Causes_7_Peoplewerelessawareofchildabuseinthepast	Causes_8_Peopleknewbutturnedablindeyetowhatwashappenin	Causes_9_TheChurchhadtoomuchpowerovertheState	Causes_10_Aresultofdecliningmoralsinsocietyingeneral	Causes_11_Theexploitationoftheissuebypeoplewhoareagains	Causes_12_OtherPleasesaywhatthisisintheboxbelow	Progressivism	MF_CUT	UrbRural	UrbRural_D	CSchool	SES2
1	1	2	3	22	29	5	1	1	1	6	26	18	1	2	2	2	3	4	4	4	3	4	4	3	2	3	4	4	2	32	4	5	7	2	9	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	CUT	1	1	3	5
2	5	1	3	10	15	2	2	0	3	2	9	12	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	1	36	3	5	4	6	7	1	3	4	8	6	5	10	2	9	7	20	1	0	1	0	0	0	1	0	0	0	0	0	5	6	6	5	5	6	3	6	7	3	3	4	 	CUT	1	1	1	5
4	4	1	4	21	17	2	2	1	1	5	19	21	1	2	3	3	2	5	6	7	7	7	3	3	4	3	6	4	1	36	3	3	3	4	5	3	2	1	6	9	5	7	8	10	4	30	1	1	1	0	1	0	0	0	0	0	0	0	7	7	5	7	7	7	4	7	7	6	3	1	-12	 	2	1	3	4
5	6	1	4	28	49	2	1	1	1	7	42	7	1	2	2	2	3	7	7	7	7	7	7	7	7	7	6	7	1	56	2	4	7	3	4	7	2	4	3	10	1	5	6	9	8	9	1	0	0	0	0	0	0	0	1	0	0	0	7	7	7	7	7	7	7	7	7	7	7	1	0	CUT	1	1	3	4
6	2	1	4	28	46	5	3	1	1	7	40	35	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	40	1	4	6	5	4	8	1	10	3	5	6	4	2	7	9	54	1	1	0	1	0	0	1	0	0	0	0	0	4	3	4	5	5	6	6	4	4	5	4	5	0	CUT	3	2	1	4
7	1	1	3	4	7	2	2	0	3	2	6	7	1	3	4	3	1	6	7	4	7	7	7	5	3	4	7	6	1	28	3	5	2	6	10	3	1	9	4	10	2	5	6	8	7	30	0	0	1	1	1	1	1	0	0	0	1	0	1	5	1	7	7	3	7	7	7	3	4	3	6	 	3	2	1	5
8	2	2	4	12	17	2	2	1	1	7	34	21	1	2	3	3	3	6	7	7	7	7	3	1	7	6	4	4	1	34	3	1	4	7	6	1	3	2	7	10	5	6	4	9	8	82	1	1	1	0	1	0	0	0	1	0	0	0	6	6	5	7	7	4	6	7	7	6	6	1	0	CUT	5	2	1	4
9	2	2	11	28	45	3	1	1	1	7	40	12	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	51	4	3	4	2	5	6	1	9	3	7	2	5	4	8	10	42	0	0	0	1	1	0	1	1	1	1	0	0	5	7	7	7	5	7	7	7	7	7	7	1	-20	 	2	1	1	 
10	3	1	3	18	16	1	1	1	1	7	25	7	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	36	2	4	9	3	6	6	2	7	3	8	1	4	5	10	9	12	0	0	0	0	0	0	0	1	0	1	0	0	4	7	7	4	7	1	2	7	4	7	4	7	-11	 	1	1	1	5
11	5	1	3	4	7	2	2	0	3	1	7	7	1	3	4	3	3	7	7	6	6	1	7	6	2	1	6	7	1	24	3	5	1	7	9	5	2	4	8	9	3	10	6	7	1	61	0	0	1	0	1	0	0	0	1	0	0	0	4	7	1	7	7	7	7	6	7	1	1	7	16	 	2	1	1	5
