"listed"	 "treatment"
"2"	 0	 0
"4"	 0	 1
"5"	 0	 0
"6"	 0	 0
"8"	 1	 0
"12"	 0	 1
"13"	 0	 1
"14"	 1	 0
"15"	 1	 1
"17"	 1	 1
"18"	 0	 0
"19"	 1	 1
"20"	 1	 0
"21"	 1	 1
"23"	 0	 0
"24"	 0	 0
"25"	 0	 0
"27"	 0	 1
"28"	 0	 0
"32"	 0	 1
"33"	 1	 1
"34"	 0	 1
"35"	 0	 1
"40"	 0	 1
"41"	 1	 1
"42"	 0	 0
"43"	 0	 0
"45"	 0	 1
"49"	 1	 0
"50"	 0	 0
"51"	 0	 1
"57"	 1	 1
"61"	 0	 0
"62"	 1	 1
"64"	 0	 0
"72"	 0	 0
"73"	 1	 1
"74"	 1	 1
"75"	 1	 0
"78"	 1	 0
"79"	 1	 0
"81"	 0	 0
"88"	 0	 1
"89"	 0	 1
"90"	 1	 0
"91"	 0	 0
"92"	 0	 1
"93"	 1	 1
"95"	 0	 0
"97"	 1	 1
"99"	 0	 1
"100"	 0	 0
"101"	 0	 0
"102"	 1	 1
"103"	 1	 0
"104"	 0	 0
"105"	 1	 0
"109"	 0	 0
"110"	 1	 1
"111"	 0	 0
"112"	 1	 0
"116"	 1	 0
"119"	 1	 1
"122"	 0	 1
"123"	 1	 1
"125"	 1	 0
"126"	 1	 1
"129"	 0	 1
"131"	 0	 0
"133"	 0	 1
"134"	 1	 1
"139"	 0	 0
"140"	 0	 1
"142"	 0	 1
"144"	 1	 1
"146"	 1	 1
"147"	 0	 0
"148"	 1	 0
"150"	 1	 0
"152"	 1	 1
"153"	 1	 1
"154"	 1	 0
"155"	 0	 0
"157"	 1	 0
"158"	 1	 0
"160"	 0	 1
"161"	 0	 1
"168"	 1	 1
"169"	 0	 0
"170"	 0	 1
"171"	 0	 0
"172"	 0	 0
"175"	 0	 0
"176"	 1	 1
"178"	 0	 0
"179"	 0	 0
"181"	 0	 0
"184"	 0	 1
"185"	 0	 1
"186"	 0	 1
"187"	 1	 0
"189"	 1	 0
"194"	 0	 1
"195"	 1	 0
"200"	 0	 0
"201"	 0	 1
"203"	 1	 1
"204"	 0	 0
"205"	 0	 0
"207"	 0	 1
"209"	 0	 0
"215"	 0	 0
"216"	 0	 1
"219"	 0	 0
"222"	 0	 0
"223"	 0	 0
"224"	 0	 1
"225"	 0	 0
"226"	 0	 1
"227"	 1	 0
"232"	 0	 0
"233"	 0	 0
"237"	 0	 0
"238"	 1	 0
"240"	 0	 1
"242"	 0	 0
"245"	 0	 0
"246"	 0	 0
"249"	 0	 1
"250"	 1	 1
"251"	 1	 1
"252"	 0	 0
"254"	 0	 0
"255"	 1	 0
