"partid"	"listed"	"treatment"
"2"	"1"	1	0
"4"	"2"	1	1
"5"	"3"	1	0
"6"	"4"	1	0
"8"	"5"	1	0
"12"	"6"	0	1
"13"	"7"	1	1
"14"	"8"	1	0
"15"	"9"	1	1
"17"	"10"	1	1
"18"	"11"	0	0
"19"	"12"	1	1
"20"	"13"	0	0
"21"	"14"	0	1
"23"	"15"	1	0
"24"	"16"	1	0
"25"	"17"	0	0
"27"	"18"	0	1
"28"	"19"	0	0
"32"	"20"	1	1
"33"	"21"	1	1
"34"	"22"	1	1
"35"	"23"	1	1
"40"	"24"	1	1
"41"	"25"	1	1
"42"	"26"	1	0
"43"	"27"	1	0
"45"	"28"	1	1
"49"	"29"	1	0
"50"	"30"	0	0
"51"	"31"	1	1
"57"	"32"	0	1
"61"	"33"	0	0
"62"	"34"	0	1
"64"	"35"	1	0
"72"	"36"	1	0
"73"	"37"	1	1
"74"	"38"	0	1
"75"	"39"	1	0
"78"	"40"	0	0
"79"	"41"	0	0
"81"	"42"	1	0
"88"	"43"	1	1
"89"	"44"	1	1
"90"	"45"	1	0
"91"	"46"	1	0
"92"	"47"	1	1
"93"	"48"	1	1
"95"	"49"	1	0
"97"	"50"	1	1
"99"	"51"	1	1
"100"	"52"	1	0
"101"	"53"	1	0
"102"	"54"	1	1
"103"	"55"	1	0
"104"	"56"	1	0
"105"	"57"	0	0
"109"	"58"	1	0
"110"	"59"	0	1
"111"	"60"	1	0
"112"	"61"	1	0
"116"	"62"	1	0
"119"	"63"	1	1
"122"	"64"	1	1
"123"	"65"	1	1
"125"	"66"	0	0
"126"	"67"	0	1
"129"	"68"	1	1
"131"	"69"	1	0
"133"	"70"	1	1
"134"	"71"	1	1
"139"	"72"	1	0
"140"	"73"	1	1
"142"	"74"	1	1
"144"	"75"	1	1
"146"	"76"	1	1
"147"	"77"	1	0
"148"	"78"	1	0
"150"	"79"	0	0
"152"	"80"	1	1
"153"	"81"	1	1
"154"	"82"	0	0
"155"	"83"	1	0
"157"	"84"	0	0
"158"	"85"	1	0
"160"	"86"	1	1
"161"	"87"	1	1
"168"	"88"	1	1
"169"	"89"	1	0
"170"	"90"	1	1
"171"	"91"	1	0
"172"	"92"	1	0
"175"	"93"	1	0
"176"	"94"	1	1
"178"	"95"	1	0
"179"	"96"	1	0
"181"	"97"	1	0
"184"	"98"	1	1
"185"	"99"	0	1
"186"	"100"	1	1
"187"	"101"	0	0
"189"	"102"	1	0
"194"	"103"	1	1
"195"	"104"	1	0
"200"	"105"	1	0
"201"	"106"	1	1
"203"	"107"	1	1
"204"	"108"	1	0
"205"	"109"	1	0
"207"	"110"	1	1
"209"	"111"	1	0
"215"	"112"	1	0
"216"	"113"	1	1
"219"	"114"	0	0
"222"	"115"	1	0
"223"	"116"	1	0
"224"	"117"	1	1
"225"	"118"	1	0
"226"	"119"	1	1
"227"	"120"	1	0
"232"	"121"	1	0
"233"	"122"	1	0
"237"	"123"	0	0
"238"	"124"	1	0
"240"	"125"	1	1
"242"	"126"	1	0
"245"	"127"	1	0
"246"	"128"	1	0
"249"	"129"	1	1
"250"	"130"	0	1
"251"	"131"	1	1
"252"	"132"	0	0
"254"	"133"	1	0
"255"	"134"	1	0
"258"	"1"	0	0
"260"	"2"	0	1
"261"	"3"	0	0
"262"	"4"	0	0
"264"	"5"	1	0
"268"	"6"	0	1
"269"	"7"	0	1
"270"	"8"	1	0
"271"	"9"	1	1
"273"	"10"	1	1
"274"	"11"	0	0
"275"	"12"	1	1
"276"	"13"	1	0
"277"	"14"	1	1
"279"	"15"	0	0
"280"	"16"	0	0
"281"	"17"	0	0
"283"	"18"	0	1
"284"	"19"	0	0
"288"	"20"	0	1
"289"	"21"	1	1
"290"	"22"	0	1
"291"	"23"	0	1
"296"	"24"	0	1
"297"	"25"	1	1
"298"	"26"	0	0
"299"	"27"	0	0
"301"	"28"	0	1
"305"	"29"	1	0
"306"	"30"	0	0
"307"	"31"	0	1
"313"	"32"	1	1
"317"	"33"	0	0
"318"	"34"	1	1
"320"	"35"	0	0
"328"	"36"	0	0
"329"	"37"	1	1
"330"	"38"	1	1
"331"	"39"	1	0
"334"	"40"	1	0
"335"	"41"	1	0
"337"	"42"	0	0
"344"	"43"	0	1
"345"	"44"	0	1
"346"	"45"	1	0
"347"	"46"	0	0
"348"	"47"	0	1
"349"	"48"	1	1
"351"	"49"	0	0
"353"	"50"	1	1
"355"	"51"	0	1
"356"	"52"	0	0
"357"	"53"	0	0
"358"	"54"	1	1
"359"	"55"	1	0
"360"	"56"	0	0
"361"	"57"	1	0
"365"	"58"	0	0
"366"	"59"	1	1
"367"	"60"	0	0
"368"	"61"	1	0
"372"	"62"	1	0
"375"	"63"	1	1
"378"	"64"	0	1
"379"	"65"	1	1
"381"	"66"	1	0
"382"	"67"	1	1
"385"	"68"	0	1
"387"	"69"	0	0
"389"	"70"	0	1
"390"	"71"	1	1
"395"	"72"	0	0
"396"	"73"	0	1
"398"	"74"	0	1
"400"	"75"	1	1
"402"	"76"	1	1
"403"	"77"	0	0
"404"	"78"	1	0
"406"	"79"	1	0
"408"	"80"	1	1
"409"	"81"	1	1
"410"	"82"	1	0
"411"	"83"	0	0
"413"	"84"	1	0
"414"	"85"	1	0
"416"	"86"	0	1
"417"	"87"	0	1
"424"	"88"	1	1
"425"	"89"	0	0
"426"	"90"	0	1
"427"	"91"	0	0
"428"	"92"	0	0
"431"	"93"	0	0
"432"	"94"	1	1
"434"	"95"	0	0
"435"	"96"	0	0
"437"	"97"	0	0
"440"	"98"	0	1
"441"	"99"	0	1
"442"	"100"	0	1
"443"	"101"	1	0
"445"	"102"	1	0
"450"	"103"	0	1
"451"	"104"	1	0
"456"	"105"	0	0
"457"	"106"	0	1
"459"	"107"	1	1
"460"	"108"	0	0
"461"	"109"	0	0
"463"	"110"	0	1
"465"	"111"	0	0
"471"	"112"	0	0
"472"	"113"	0	1
"475"	"114"	0	0
"478"	"115"	0	0
"479"	"116"	0	0
"480"	"117"	0	1
