PARTID	order	RAW	CODE	TRANS
#15mtaip3 	8	cioce 	cioce	aunt
#12vtaip2 	7	cioce 	cioce	aunt
#2mtaip1	6	Teta	teta	aunt
#3mtaip2	8	Teta	teta	aunt
#4mtaip2	9	teta	teta	aunt
#8mtaip3	10	teta	teta	aunt
#1vtaip1	10	teta	teta	aunt
#10mtaip2 	1	teta	teta	aunt
#8vtaip2 	19	teta	teta	aunt
#7mtaip1 	9	teta 	teta	aunt
#9mtaip1 	10	teta 	teta	aunt
#3vtaip1 	13	teta 	teta	aunt
#5vtaip3 	13	teta 	teta	aunt
#6vtaip1 	8	teta 	teta	aunt
#7vtaip1 	19	teta 	teta	aunt
#11mtaip2 	8	teta 	teta	aunt
#13mtaip2 	1	teta 	teta	aunt
#9vtaip1 	11	teta 	teta	aunt
#10vtaip2 	12	teta 	teta	aunt
#13vtaip1 	7	teta 	teta	aunt
#15vtaip3 	13	teta 	teta	aunt
#2vtaip2	6	teta	teta	aunt
#1mtaip3	2	Tete	tete	aunt
#15mtaip3 	2	tete 	tete	aunt
#8vtaip2 	20	tetenas	tetenas	aunt's husband
#3vtaip1 	14	tetenas 	tetenas	aunt's husband
#1vtaip1	17	brolenas	brolenas	brother's son
#1mtaip3	3	Brolis	brolis	brother
#3mtaip2	11	Brolis	brolis	brother
#4mtaip2	6	brolis	brolis	brother
#8mtaip3	25	brolis	brolis	brother
#1vtaip1	12	brolis	brolis	brother
#6mtaip3 	4	brolis 	brolis	brother
#9mtaip1 	6	brolis 	brolis	brother
#3vtaip1 	6	brolis 	brolis	brother
#4vtaip1 	5	brolis 	brolis	brother
#5vtaip3 	6	brolis 	brolis	brother
#10mtaip2 	16	brolis 	brolis	brother
#7vtaip1 	3	brolis 	brolis	brother
#12mtaip2 	1	brolis 	brolis	brother
#15mtaip3 	7	brolis 	brolis	brother
#9vtaip1 	3	brolis 	brolis	brother
#10vtaip2 	3	brolis 	brolis	brother
#12vtaip2 	4	brolis 	brolis	brother
#15vtaip3 	3	brolis 	brolis	brother
#8vtaip2 	5	svainis	svainis	brother-in-law
#7vtaip1 	16	svainis 	svainis 	brother-in-law
#3mtaip2	10	Broliene	broliene	brother's wife
#8mtaip3	24	broliene	broliene	brother's wife
#1vtaip1	25	broliene	broliene	brother's wife
#2vtaip2	21	broliene	broliene	brother's wife
#8vtaip2 	6	broliene	broliene	brother's wife
#5vtaip3 	10	broliene 	broliene	brother's wife
#10vtaip2 	8	broliene 	broliene	brother's wife
#12vtaip2 	9	broliene 	broliene	brother's wife
#4vtaip1 	6	brolio_zmona 	brolio_zmona 	brother's wife
#15mtaip3 	3	vaikai 	vaikai	children
#11vtaip3 	4	vaikai 	vaikai	children
#7mtaip1 	16	vaikaitis	vaikaitis	grandchild
#2vtaip2	19	vaikaitis	vaikaitis	grandchild
#7vtaip1 	20	vaikaitis 	vaikaitis	grandchild
#2mtaip1	9	Vaikas	vaikas	children
#4vtaip1 	4	vaikas 	vaikas	children
#13vtaip1 	1	vaikas 	vaikas	children
#10mtaip2 	6	kuma	kuma	godmother
#11mtaip2 	5	kuma	kuma	godmother
#9mtaip1 	13	kuma 	kuma	godmother
#6vtaip1 	13	kuma 	kuma	godmother
#15mtaip3 	15	kuma 	kuma	godmother
#13vtaip1 	13	kuma 	kuma	godmother
#6mtaip3 	17	kumas 	kumas	godfather
#6mtaip3 	18	kumina 	kumina	godmother
#5mtaip1 	10	kuminas 	kuminas	godfather
#9mtaip1 	14	kuminas 	kuminas	godfather
#6vtaip1 	14	kuminas 	kuminas	godfather
#11mtaip2 	6	kuminas 	kuminas	godfather
#13vtaip1 	12	kuminas 	kuminas	godfather
#1mtaip3	5	Pusbrolis	pusbrolis	cousin_b
#4mtaip2	14	pusbrolis	pusbrolis	cousin_b
#8mtaip3	26	pusbrolis	pusbrolis	cousin_b
#1vtaip1	5	pusbrolis	pusbrolis	cousin_b
#2vtaip2	16	pusbrolis	pusbrolis	cousin_b
