"response"	"anonyme_id"	"type"	"ORDER"
"9642"	"NGOMBE"	1399	"W"	1
"4334"	"MBUZI"	1399	"W"	2
"10478"	"PAPA"	1399	"S"	3
"2710"	"KOLEKOLE"	1399	"S"	4
"2408"	"KIPEPEO"	1399	"D"	5
"4577"	"MCHECHE"	1399	"S"	6
"9222"	"MZIRA"	1399	"S"	7
"10638"	"POMBOO"	1399	"S"	8
"11711"	"TANGARANGA"	1399	"S"	9
"4949"	"MCHUNGWA"	1399	"M"	10
"8510"	"MUEMBE"	1399	"M"	11
"5399"	"MFENESI"	1399	"M"	12
"8095"	"MTOMONDO"	1399	"M"	13
"6887"	"MPAPAI"	1399	"M"	14
"4120"	"MBUNGO"	1399	"M"	15
"6323"	"MKWAJU"	1399	"M"	16
"3693"	"MBALE"	1399	"M"	17
"6405"	"MLIMAU"	1399	"M"	18
"4919"	"MCHUNGWA"	1399	"M"	19
"8154"	"MTONDOO"	1399	"M"	20
"7422"	"MRIBA"	1399	"M"	21
"6736"	"MNAZI"	1399	"M"	22
"3839"	"MBIE"	1399	"M"	23
"5025"	"MCHUNGWA KALI"	1399	"M"	24
"6028"	"MKOROSHO"	1399	"M"	25
"5722"	"MKANDAA"	1399	"M"	26
"5788"	"MKANJA"	1399	"M"	27
"8829"	"MVUMANYUKI"	1399	"M"	28
"7011"	"MPERA"	1399	"M"	29
"7666"	"MSHOKISHOKI"	1399	"M"	30
"5036"	"MCHUOA ULIMI"	1399	"M"	31
"3431"	"KWEMBE"	1399	"N"	32
"2624"	"KOHO"	1399	"N"	33
"11277"	"SAUTI"	1399	"N"	34
"11984"	"TONGO"	1399	"N"	35
"10759"	"POPO"	1399	"N"	36
"2611"	"KOBEA MINAZI"	1399	"N"	37
"3424"	"KWEMBE"	1399	"N"	38
"3603"	"MANJA"	1399	"N"	39
"3774"	"MBELUNGI"	1399	"M"	40
"10554"	"PELELE"	1399	"W"	41
"10270"	"PAA"	1399	"W"	42
"10108"	"NYOKA"	1399	"D"	43
"1261"	"FISI"	1399	"W"	44
"11508"	"SIMBA"	1399	"W"	45
"913"	"CHUI"	1399	"S"	46
"11816"	"TEMBO"	1399	"S"	47
"12195"	"TWIGA"	1399	"W"	48
"2008"	"KIBOKO"	1399	"W"	49
"11659"	"SWALA"	1399	"W"	50
"2858"	"KONDOO"	1399	"W"	51
"10030"	"NYANI"	1399	"W"	52
"12081"	"TUMBILI"	1399	"W"	53
"1242"	"FISI"	1399	"W"	54
"12189"	"TWIGA"	1399	"W"	55
"5755"	"MKANDAA"	1399	"M"	56
"10281"	"PAANZI"	1399	"S"	57
"3267"	"KURUMBIZA"	1399	"D"	58
"7494"	"MSASA"	1399	"M"	59
"7303"	"MPO"	1399	"M"	60
"4085"	"MBUNGO"	1399	"M"	61
"6735"	"MNAZI"	1399	"M"	62
"5330"	"MFENESI"	1399	"M"	63
"6284"	"MKUYU"	1399	"M"	64
"2432"	"KIRUKIA"	1399	"M"	65
"6509"	"MMUMUNYA"	1399	"M"	66
"5767"	"MKANJA"	1399	"M"	67
"7556"	"MSHELISHELI"	1399	"M"	68
"5299"	"MFENESI"	1399	"M"	69
"6020"	"MKOROSHO"	1399	"M"	70
"7212"	"MPILIPILI"	1399	"M"	71
"4697"	"MCHICHA"	1399	"M"	72
"7425"	"MRIBA"	1399	"M"	73
"6360"	"MLANDEGE"	1399	"M"	74
"3581"	"MAMBA"	1399	"W"	75
"8899"	"MWANI"	1399	"M"	76
"10491"	"PAPA"	1399	"S"	77
"10670"	"POMBOO"	1399	"S"	78
"2389"	"KIPEPEO"	1399	"D"	79
"9223"	"MZIRA"	1399	"S"	80
