"Subj"	"Age"	"Gender"	"SES"	"Believe_God"	"Rej_Church"	"Order"	"Code"	"SISI_SCORE"	"Fusion_SCORE"	"MassAttendance"	"RelIDBASIC"	"God_Always_Never"	"GodCertainty_1"	"CatholicBelief_SCORE"	"CathMoral_SCORE"	"Rej_The_Ath"	"CN_CR_TR_AR"	"CN_CR_NC"	"IntMorRej"	"RejFact_1_Catholicreligiousbeliefsdidntmakesenseorwereu"	"RejFact_2_TheCatholicChurchsmoralvaluesareoutofdateor"	"RejFact_3_Thebehaviourofpeoplearoundmewhocalledthemselve"	"RejFact_4_ThesexualabusescandalsintheCatholicChurch"	"RejFact_5_ThefeelingthattheCatholicChurchwantstocontrol"	"RejFact_6_Catholicismwasirrelevanttomylife"	"RejFact_7_Ilearnedmoreaboutatheisthumanistsecularideas"	"RejFact_8_BoredomwithCatholicreligiousservices"	"RejFact_9_Ilearnedmoreaboutotherreligiousorspiritualbeli"	"RejFact_10_PeoplearoundmemostlypractisedCatholicismoutof"	"RejFact_12_Ilearnedmoreaboutscience"	"ParentsCatholic"	"CRED_SCORE"	"CathInfGood_Bad"	"ChurchInfToday"	"Trust_1_Atheists"	"Trust_2_Priests"	"Trust_5_Bishops"	"ScEmo_1_Anger"	"ScEmo_2_Disgust"	"ScEmo_3_Contempt"	"ScEmo_4_Shame"	"ScEmo_Amusement"	"ScEmo_Sadness"	"ScEmo_Disbelief"	"ScEmo_Shock"	"ScEmo_Norealfeelingsaboutit"	"ScEmo_Vindication_Ialreadyknewthechurchwasbad"	"Paedo_."	"CredDepl_1_GotoMass"	"CredDepl_2_GotoConfession"	"CredDepl_3_DonatemoneytotheChurchortoCatholiccharities"	"CredDepl_4_Gotothechurchtolightcandles"	"CredDepl_5_ReceiveashesonAshWednesday"	"CredDepl_6_Prayinfrontofotherpeople"	"CredDepl_7_Celebrateimportanteventsinmylifeormychildren"	"CredDepl_8_Blessmyselfwhilepassingachurch"	"CredDepl_9_GivesomethingupforLent"	"CredDepl_10_Confrontfamilymembersorpeopleinmycommunitywh"	"CredDepl_11_HidethefactthatIdidntreallybelieveinCathol"	"CredDepl_12_Noneoftheabove"	"Causes_1_Homosexualsjoiningthepriesthood"	"Causes_2_Paedophilesjoiningthepriesthood"	"Causes_3_Priestswerenottrainedaswellastheyusedtobe"	"Causes_4_IrishpeopleweretooobedienttoquestiontheChurchc"	"Causes_5_TheChurchcaredmoreaboutitsreputationthanaboutp"	"Causes_6_Priestlycelibacypriestsarenotallowedtomarry"	"Causes_7_Peoplewerelessawareofchildabuseinthepast"	"Causes_8_Peopleknewbutturnedablindeyetowhatwashappenin"	"Causes_9_TheChurchhadtoomuchpowerovertheState"	"Causes_10_Aresultofdecliningmoralsinsocietyingeneral"	"Causes_11_Theexploitationoftheissuebypeoplewhoareagains"	"Causes_12_OtherPleasesaywhatthisisintheboxbelow"	"Progressivism"	"MF_CUT"	"UrbRural"	"UrbRural_D"	"CSchool"	"SES2"
"1"	1	1	2	3	1	1	7	"Prayer"	22	29	5	1	1	6	26	18	2	2	2	3	4	4	4	3	4	4	3	2	3	4	4	2	32	4	5	7	2	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CUT"	1	1	3	5
"2"	1	1	2	3	1	1	8	"Comforting/Caring"	22	29	5	1	1	6	26	18	2	2	2	3	4	4	4	3	4	4	3	2	3	4	4	2	32	4	5	7	2	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CUT"	1	1	3	5
"3"	1	1	2	3	1	1	5	"Mass"	22	29	5	1	1	6	26	18	2	2	2	3	4	4	4	3	4	4	3	2	3	4	4	2	32	4	5	7	2	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CUT"	1	1	3	5
"4"	1	1	2	3	1	1	1	"Churches/Buildings"	22	29	5	1	1	6	26	18	2	2	2	3	4	4	4	3	4	4	3	2	3	4	4	2	32	4	5	7	2	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CUT"	1	1	3	5
"5"	1	1	2	3	1	1	2	"Sacraments/Rites of Passage"	22	29	5	1	1	6	26	18	2	2	2	3	4	4	4	3	4	4	3	2	3	4	4	2	32	4	5	7	2	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CUT"	1	1	3	5
"6"	1	1	2	3	1	1	4	"Clergy"	22	29	5	1	1	6	26	18	2	2	2	3	4	4	4	3	4	4	3	2	3	4	4	2	32	4	5	7	2	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CUT"	1	1	3	5
"7"	1	1	2	3	1	1	9	"Comforting/Caring"	22	29	5	1	1	6	26	18	2	2	2	3	4	4	4	3	4	4	3	2	3	4	4	2	32	4	5	7	2	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CUT"	1	1	3	5
"8"	1	1	2	3	1	1	6	"Comforting/Caring"	22	29	5	1	1	6	26	18	2	2	2	3	4	4	4	3	4	4	3	2	3	4	4	2	32	4	5	7	2	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CUT"	1	1	3	5
"9"	1	1	2	3	1	1	3	"God"	22	29	5	1	1	6	26	18	2	2	2	3	4	4	4	3	4	4	3	2	3	4	4	2	32	4	5	7	2	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CUT"	1	1	3	5
"10"	10	3	1	3	1	0	3	"Tradition"	18	16	1	1	1	7	25	7	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	36	2	4	9	3	6	6	2	7	3	8	1	4	5	10	9	12	0	0	0	0	0	0	0	1	0	1	0	0	4	7	7	4	7	1	2	7	4	7	4	7	-11	" "	1	1	1	5
